place_id,gdp_total,gdp_per_capita,gdp_growth,pop_density,gini,forest_area,co2_per_capita,internet_user,hdi,median_age,avg_temp
Hungary,222722738925.641,23292.3263882478,0.560117843140432,105.108327854482,,22.4484341442034,,,,,
Qatar,219162637362.637,76688.6941743178,2.35970586926597,231.160313315927,,0.0,,,,,
Ukraine,190741262414.705,5389.47314453125,2.9138222142611,65.1239834311357,,16.7552640662755,,,,,
Morocco,160610994054.734,4153.1943359375,3.79336515978963,84.5003473000224,,12.9371068787811,,,,,
Kuwait,160227273053.334,32717.7186631255,-2.56011099967517,272.358024691358,,0.350729517396184,,,,,
Ethiopia,149740297952.986,1133.88279681719,7.61277447511073,114.037952012,,14.9308975782695,,,,,
Slovakia,140934076532.375,25992.6748502048,1.93867445549446,112.868968386023,,40.05615640599,,,,,
Ecuador,124676074700.0,6874.705739766,-2.00125476341026,72.3952448059269,45.2,49.5450958286359,,,,,
Dominican Republic,124282245638.568,10875.6618443092,4.95352204492849,235.098143035751,39.0,44.9887775472934,,,,,
Kenya,120339557905.932,2132.43452097647,4.72473994710138,95.2681371231706,,6.21662477880402,,,,,
Venezuela,119802963257.783,4217.59102643391,5.29999999999984,32.0853171588912,,52.2338793719177,,,,,
Uzbekistan,114965293466.611,3161.70010632875,6.49999999997677,80.9084466129581,34.6,8.54914331101781,,,,,
Bulgaria,113343355779.985,17596.0173663521,3.38709063847314,59.3827929255711,,36.2196020633751,,,,,
Guatemala,113199581158.203,6150.02571438505,3.65186382894819,169.138092571855,,32.5961179544606,,,,,
Oman,107137198769.386,20285.2272897377,1.63163221127449,16.3142778675283,,0.00762261712439418,,,,,
Angola,100998916781.079,2665.87444776753,4.42390664406875,29.4777460495709,,52.0912696719339,,,,,
Sri Lanka,98963185509.6499,4515.56787322732,5.00871930957159,356.239896540576,,34.0048496605238,,,,,
Costa Rica,95350423176.5962,18587.1532203482,4.32122429646145,99.9906972189581,45.8,60.3991382687035,,,,,
Luxembourg,93279851863.4062,137781.681659123,0.35861253942069,258.862052624628,,34.4538272103664,,,,,
Croatia,92983810328.9088,24050.4397933135,3.82688702890739,68.9722301644031,,34.785739814153,,,,,
Serbia,90097765959.1114,13679.2065983557,3.94992622592932,78.7630277084077,,32.3896349149721,,,,,
Cote d'Ivoire,87113179149.284,2727.8935220697,6.01953461940062,98.0052012578616,,7.85551603773585,,,,,
Panama,86523959131.7472,19161.2188501596,2.74788545546916,60.1072930709086,49.7,56.3439727689404,,,,,
Lithuania,84869215513.3648,29384.0189598663,2.77263124530285,45.87196485623,,35.2301501597444,,,,,
Ghana,82308110386.4641,2390.77237652715,5.59045469593266,148.49676310689,,35.1921958573042,,,,,
